91	94	菏泽	25.9	6.89	25.71	16.3	94	82.31	23.22	14.51	45.68	41.43	73	山东省	地级市
92	93	岳阳	25.88	21.77	14.44	18.11	88	80.48	31.28	17.15	24.9	38.45	82	湖南省	地级市
93	96	茂名	25.05	15.04	22.69	18.87	87	76.22	10.59	23.12	30.25	35.05	95	广东省	地级市
94	95	许昌	24.43	15.99	19.35	17.67	91	80.7	24.11	14.69	21.93	35.36	94	河南省	地级市
95	97	枣庄	24.09	15.9	18.06	16.98	92	84.52	16.49	22.71	18.7	35.6	92	山东省	地级市
96	98	连云港	23.2	12.94	17.47	15.2	95	70.24	19.41	35.44	19.45	36.14	89	江苏省	地级市
97		郴州 	23.16	9.97	23.35	16.66	93	79.79	11	17.4	26.57	33.69	98	湖南省	地级市
98	99	周口	20.77	1.51	21.21	11.35	98	82.07	21.22	0	40.65	35.98	90	河南省	地级市
99		宿迁	18.97	10.7	11.49	11.1	99	74.61	12.22	16.78	23.28	31.72	99	江苏省	地级市
100	100	通辽	16.64	17.37	0	8.69	100	69.78	18.14	18.15	11.99	29.51	100	内蒙古自治区	地级市
